CAMIS,DBA,BORO,BUILDING,STREET,NEIGHBOURHOOD,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,CITY,STATUS,Restaurant Name,Area,Cuisine Type,Hygiene Score,Hygiene Rating,Inspector Comments,Is_Brand
30000010,OPTP Ferozepur,Lahore,321,Service Rd,Ferozepur Road,54770,+92-317-3965125,Burgers,2022-02-02,Passed,Not Critical,88,A,2022-02-05,2022-03-18,Enforcement Raid,31.639131,74.251469,Lahore,Active,OPTP Ferozepur,Ferozepur Road,Burgers,88,Excellent,Storage organized; recommend improved handwashing.,True
30000011,McDonald's Gaddafi,Lahore,283,Stadium Rd,Gaddafi Stadium,54780,+92-317-4421186,Continental,2024-03-20,Warning Issued,Not Critical,78,B,2024-03-31,2024-03-29,Enforcement Raid,31.468738,74.236303,Lahore,Active,McDonald's Gaddafi,Gaddafi Stadium,Continental,78,Good,Some utensils dirty; advised deep clean.,True
30000012,KFC,Lahore,418,Raiwind Rd,Raiwind Road,54650,+92-311-5731917,Fast Food,2022-02-13,No Action Needed,Not Critical,89,A,2022-03-11,2022-03-10,Follow-up,31.463891,74.21441,Lahore,Active,KFC,Raiwind Road,Fast Food,89,Excellent,Clean premises; food handlers wearing gloves.,True
30000013,Domino's Pizza MM,Lahore,233,Main Blvd,MM Alam Road,54660,+92-333-3303365,Pizza,2022-01-25,Warning Issued,Not Critical,66,C,2022-01-25,2022-02-01,Routine Inspection,31.602689,74.328896,Lahore,Active,Domino's Pizza MM,MM Alam Road,Pizza,66,Average,Storage practices need improvement.,True
30000014,Gloria Jean's,Lahore,68,Shadman Rd,Shadman,54030,+92-338-1226440,Cafe,2022-01-20,Fine Imposed,Critical,33,D,2022-02-16,2022-03-06,Routine Inspection,31.490464,74.296085,Lahore,Under Investigation,Gloria Jean's,Shadman,Cafe,33,Poor,Unsafe storage and mold in refrigerated unit.,True
30000015,Pizza Hut,Lahore,457,Canal Bank Rd,Cavalry,54020,+92-330-3592303,Pizza,2023-05-15,Passed,Not Critical,94,A,2023-06-01,2023-05-22,Routine Inspection,31.614985,74.220563,Lahore,Active,Pizza Hut,Cavalry,Pizza,94,Excellent,Minor record-keeping issues; overall good.,True
30000016,OPTP Garden,Lahore,53,Model Town Rd,Garden Town,54750,+92-314-1402667,Pizza,2024-05-24,Warning Issued,Not Critical,80,B,2024-05-31,2024-07-06,Enforcement Raid,31.587353,74.34297,Lahore,Active,OPTP Garden,Garden Town,Pizza,80,Good,Storage practices need improvement.,True
30000017,KFC,Lahore,252,Anarkali St,Old Anarkali,54010,+92-318-6994631,Fast Food,2022-06-06,Warning Issued,Not Critical,61,C,2022-07-05,2022-06-11,Routine Inspection,31.570901,74.235614,Lahore,Active,KFC,Old Anarkali,Fast Food,61,Average,No medical certificates for staff; poor hygiene.,True
30000018,Burger King DHA,Lahore,172,DHA Main Blvd,DHA Phase 3,54810,+92-309-6059400,Continental,2023-08-11,Warning Issued,Not Critical,76,B,2023-09-09,2023-09-11,Complaint-Based,31.636576,74.362144,Lahore,Active,Burger King DHA,DHA Phase 3,Continental,76,Good,Storage practices need improvement.,True
30000019,KFC,Lahore,404,MM Alam Rd,Gulberg,54660,+92-309-6373004,Fast Food,2022-10-30,Advisory Issued,Not Critical,86,A,2022-11-25,2022-11-03,Routine Inspection,31.565569,74.391917,Lahore,Active,KFC,Gulberg,Fast Food,86,Excellent,Minor record-keeping issues; overall good.,True
30000020,Burger King Gaddafi,Lahore,75,Stadium Rd,Gaddafi Stadium,54780,+92-42-4162422,Italian,2023-12-24,Warning Issued,Not Critical,81,B,2024-01-15,2024-01-19,Complaint-Based,31.477644,74.388806,Lahore,Active,Burger King Gaddafi,Gaddafi Stadium,Italian,81,Good,Some utensils dirty; advised deep clean.,True
30000021,Dunkin' Donuts Garden,Lahore,197,Model Town Rd,Garden Town,54750,+92-331-9933438,Cafe,2023-04-17,Warning Issued,Not Critical,84,B,2023-05-03,2023-05-23,Follow-up,31.590619,74.247039,Lahore,Active,Dunkin' Donuts Garden,Garden Town,Cafe,84,Good,Storage practices need improvement.,True
30000022,Tim Hortons Lahore,Lahore,105,Main Blvd,Lahore Cantt,54770,+92-308-2848116,Cafe,2022-05-03,Sealed,Critical,41,D,2022-05-17,2022-05-12,Enforcement Raid,31.498499,74.365564,Lahore,Under Investigation,Tim Hortons Lahore,Lahore Cantt,Cafe,41,Poor,Significant cleanliness issues; pests present.,True
30000023,KFC,Lahore,383,College Rd,Johar Town,54782,+92-42-3511537,Fast Food,2024-02-13,Warning Issued,Not Critical,71,B,2024-02-24,2024-02-16,Routine Inspection,31.582549,74.214754,Lahore,Active,KFC,Johar Town,Fast Food,71,Good,Pests not observed but sanitation needs work.,True
30000024,Tim Hortons Ferozepur,Lahore,446,Ferozepur Rd,Ferozepur Road,54770,+92-309-2325287,Cafe,2023-05-17,Advisory Issued,Not Critical,99,A,2023-05-21,2023-05-28,Enforcement Raid,31.598712,74.349621,Lahore,Active,Tim Hortons Ferozepur,Ferozepur Road,Cafe,99,Excellent,Minor record-keeping issues; overall good.,True
30000025,Gloria Jean's,Lahore,241,Main Blvd,MM Alam Road,54660,+92-300-5811186,Cafe,2022-08-16,Passed,Not Critical,89,A,2022-08-17,2022-09-23,Follow-up,31.550659,74.202174,Lahore,Active,Gloria Jean's,MM Alam Road,Cafe,89,Excellent,Staff medicals up-to-date; maintain temperatures.,True
30000026,Salt'n Pepper Raiwind,Lahore,349,Service Rd,Raiwind Road,54650,+92-42-9531133,Burgers,2023-04-11,Warning Issued,Not Critical,77,B,2023-04-13,2023-05-14,Enforcement Raid,31.645585,74.225027,Lahore,Active,Salt'n Pepper Raiwind,Raiwind Road,Burgers,77,Good,Some utensils dirty; advised deep clean.,True
30000027,OPTP,Lahore,206,Canal Bank Rd,Cavalry,54020,+92-311-2295356,Desi,2024-09-04,Advisory Issued,Not Critical,85,A,2024-09-30,2024-09-28,Follow-up,31.460934,74.274296,Lahore,Active,OPTP,Cavalry,Desi,85,Excellent,Staff medicals up-to-date; maintain temperatures.,True
30000028,Monal,Lahore,100,DHA Main Blvd,Packages Mall,54780,+92-323-6628280,Pakistani,2023-05-06,Re-inspection Required,Not Critical,83,B,2023-05-08,2023-05-19,Routine Inspection,31.601304,74.261824,Lahore,Active,Monal,Packages Mall,Pakistani,83,Good,Pests not observed but sanitation needs work.,True
30000029,Texas Chicken,Lahore,104,Township Rd,Township,54790,+92-305-1752869,Fast Food,2024-09-17,No Action Needed,Not Critical,95,A,2024-10-17,2024-10-06,Routine Inspection,31.646108,74.350336,Lahore,Active,Texas Chicken,Township,Fast Food,95,Excellent,Staff medicals up-to-date; maintain temperatures.,True
30000030,Pizza Hut Lahore,Lahore,257,Main Blvd,Lahore Cantt,54770,+92-322-3172932,Pizza,2022-07-19,Passed,Not Critical,89,A,2022-08-04,2022-07-25,Follow-up,31.454737,74.359214,Lahore,Active,Pizza Hut Lahore,Lahore Cantt,Pizza,89,Excellent,Staff medicals up-to-date; maintain temperatures.,True
30000031,Salt'n Pepper,Lahore,301,Commercial Ave,Johar Town,54782,+92-329-2321253,Fast Food,2023-04-20,Re-inspection Required,Not Critical,72,B,2023-05-14,2023-06-04,Follow-up,31.648683,74.300324,Lahore,Active,Salt'n Pepper,Johar Town,Fast Food,72,Good,Pests not observed but sanitation needs work.,True
30000032,Pizza Hut Shadman,Lahore,334,Market Rd,Shadman,54030,+92-308-6687823,Pizza,2023-08-19,Advisory Issued,Not Critical,88,A,2023-08-20,2023-10-03,Enforcement Raid,31.497822,74.399402,Lahore,Active,Pizza Hut Shadman,Shadman,Pizza,88,Excellent,Storage organized; recommend improved handwashing.,True
30000033,Burger King,Lahore,39,Mall Rd,Fortress Stadium,54070,+92-300-3392808,Burgers,2022-06-28,Warning Issued,Not Critical,82,B,2022-07-03,2022-07-16,Follow-up,31.463632,74.315302,Lahore,Active,Burger King,Fortress Stadium,Burgers,82,Good,Chilled items slightly above recommended temp.,True
30000034,Hardee's,Lahore,46,MM Alam Rd,Gulberg,54660,+92-329-5327583,Desi,2023-06-09,Re-inspection Required,Not Critical,67,C,2023-07-08,2023-06-17,Routine Inspection,31.644336,74.297652,Lahore,Active,Hardee's,Gulberg,Desi,67,Average,Significant cleanliness issues; pests present.,True
30000035,Domino's Pizza Lahore,Lahore,440,Main Blvd,Lahore Cantt,54770,+92-339-3163996,Pizza,2024-06-21,Passed,Not Critical,88,A,2024-07-21,2024-07-11,Complaint-Based,31.466698,74.282639,Lahore,Active,Domino's Pizza Lahore,Lahore Cantt,Pizza,88,Excellent,Staff medicals up-to-date; maintain temperatures.,True
30000036,Papa John's,Lahore,135,Shadman Rd,Shadman,54030,+92-303-5107344,Pizza,2022-01-17,Warning Issued,Not Critical,76,B,2022-01-29,2022-01-27,Enforcement Raid,31.620766,74.24461,Lahore,Active,Papa John's,Shadman,Pizza,76,Good,Packaging labels missing; hygiene average.,True
30000037,Texas Chicken Johar,Lahore,343,Commercial Ave,Johar Town,54782,+92-334-8798939,Fast Food,2022-08-12,Advisory Issued,Not Critical,91,A,2022-09-05,2022-09-08,Follow-up,31.530304,74.212894,Lahore,Active,Texas Chicken Johar,Johar Town,Fast Food,91,Excellent,Minor record-keeping issues; overall good.,True
30000038,Pizza Hut DHA,Lahore,310,DHA Main Blvd,DHA Phase 3,54810,+92-330-2918079,Pizza,2023-07-25,Re-inspection Required,Not Critical,83,B,2023-08-24,2023-08-24,Follow-up,31.578043,74.264037,Lahore,Active,Pizza Hut DHA,DHA Phase 3,Pizza,83,Good,Storage practices need improvement.,True
30000039,Monal Johar,Lahore,308,College Rd,Johar Town,54782,+92-42-7175953,Italian,2024-08-27,Re-inspection Required,Not Critical,78,B,2024-09-26,2024-10-09,Enforcement Raid,31.50397,74.327137,Lahore,Active,Monal Johar,Johar Town,Italian,78,Good,Storage practices need improvement.,True
30000040,Dunkin' Donuts Ferozepur,Lahore,73,Service Rd,Ferozepur Road,54770,+92-319-8573586,Cafe,2024-05-09,Advisory Issued,Not Critical,85,A,2024-05-14,2024-05-12,Routine Inspection,31.628991,74.285707,Lahore,Active,Dunkin' Donuts Ferozepur,Ferozepur Road,Cafe,85,Excellent,Minor record-keeping issues; overall good.,True
30000041,OPTP,Lahore,85,Commercial Ave,Johar Town,54782,+92-42-9191441,Desi,2022-11-26,Closure Recommended,Critical,43,D,2022-12-22,2022-11-26,Follow-up,31.465562,74.333592,Lahore,Under Investigation,OPTP,Johar Town,Desi,43,Poor,Unsafe storage and mold in refrigerated unit.,True
30000042,Dunkin' Donuts Samanabad,Lahore,75,Market Rd,Samanabad,54760,+92-329-3474414,Cafe,2024-10-19,Re-inspection Required,Not Critical,61,C,2024-11-01,2024-11-04,Routine Inspection,31.647648,74.388665,Lahore,Active,Dunkin' Donuts Samanabad,Samanabad,Cafe,61,Average,Chilled items slightly above recommended temp.,True
30000043,Subway Township,Lahore,325,Township Rd,Township,54790,+92-312-8049385,Cafe,2022-12-07,Warning Issued,Not Critical,63,C,2022-12-13,2022-12-19,Routine Inspection,31.524051,74.272759,Lahore,Active,Subway Township,Township,Cafe,63,Average,Pests not observed but sanitation needs work.,True
30000044,Monal,Lahore,460,Canal Bank Rd,DHA Phase 5,54792,+92-307-9374022,Desi,2024-04-27,Warning Issued,Not Critical,80,B,2024-05-13,2024-05-18,Routine Inspection,31.63527,74.291765,Lahore,Active,Monal,DHA Phase 5,Desi,80,Good,Chilled items slightly above recommended temp.,True
30000045,Salt'n Pepper Gulberg,Lahore,91,Main Blvd,Gulberg,54660,+92-327-7401570,Burgers,2024-06-14,Re-inspection Required,Not Critical,71,B,2024-06-16,2024-06-20,Routine Inspection,31.579925,74.323252,Lahore,Active,Salt'n Pepper Gulberg,Gulberg,Burgers,71,Good,Packaging labels missing; hygiene average.,True
30000046,Monal,Lahore,54,Central Ave,Model Town,54700,+92-334-2672723,Desi,2024-10-27,Re-inspection Required,Not Critical,60,C,2024-11-05,2024-11-22,Follow-up,31.494576,74.290926,Lahore,Active,Monal,Model Town,Desi,60,Average,Expired items found; immediate action required.,True
30000047,Salt'n Pepper,Lahore,59,Circular Rd,Saddar,54000,+92-42-6993432,Desi,2024-04-25,Re-inspection Required,Not Critical,50,C,2024-05-20,2024-05-20,Routine Inspection,31.637923,74.356439,Lahore,Active,Salt'n Pepper,Saddar,Desi,50,Average,No medical certificates for staff; poor hygiene.,True
30000048,Burger King Gaddafi,Lahore,146,Stadium Rd,Gaddafi Stadium,54780,+92-326-5052611,Pakistani,2024-04-29,No Action Needed,Not Critical,90,A,2024-05-24,2024-05-22,Complaint-Based,31.517018,74.391832,Lahore,Active,Burger King Gaddafi,Gaddafi Stadium,Pakistani,90,Excellent,Staff medicals up-to-date; maintain temperatures.,True
30000049,Texas Chicken Liberty,Lahore,124,Main Blvd,Liberty Market,54060,+92-325-1865385,Fast Food,2024-05-28,Advisory Issued,Not Critical,100,A,2024-06-20,2024-06-08,Enforcement Raid,31.630834,74.303455,Lahore,Active,Texas Chicken Liberty,Liberty Market,Fast Food,100,Excellent,Staff medicals up-to-date; maintain temperatures.,True
30000050,Papa John's Township,Lahore,119,Township Rd,Township,54790,+92-336-7576872,Pizza,2023-06-17,Warning Issued,Not Critical,62,C,2023-06-23,2023-06-22,Routine Inspection,31.455128,74.202308,Lahore,Active,Papa John's Township,Township,Pizza,62,Average,Unsafe storage and mold in refrigerated unit.,True
30000051,Dunkin' Donuts Gaddafi,Lahore,79,Canal Bank Rd,Gaddafi Stadium,54780,+92-301-3190232,Cafe,2024-07-18,Warning Issued,Not Critical,72,B,2024-07-23,2024-08-02,Follow-up,31.509385,74.307083,Lahore,Active,Dunkin' Donuts Gaddafi,Gaddafi Stadium,Cafe,72,Good,Some utensils dirty; advised deep clean.,True
30000052,Burger King Garden,Lahore,372,Model Town Rd,Garden Town,54750,+92-317-2391894,BBQ,2022-02-17,Fine Imposed,Not Critical,69,C,2022-02-20,2022-03-18,Routine Inspection,31.471415,74.256493,Lahore,Active,Burger King Garden,Garden Town,BBQ,69,Average,Chilled items slightly above recommended temp.,True
30000053,Salt'n Pepper DHA,Lahore,48,Commercial Ave,DHA Phase 5,54792,+92-313-7556539,Fast Food,2024-10-02,Fine Imposed,Not Critical,66,C,2024-10-17,2024-11-11,Routine Inspection,31.492059,74.283981,Lahore,Active,Salt'n Pepper DHA,DHA Phase 5,Fast Food,66,Average,Significant cleanliness issues; pests present.,True
30000054,Papa John's,Lahore,325,Canal Bank Rd,Garden Town,54750,+92-300-3997703,Pizza,2022-03-06,Advisory Issued,Not Critical,95,A,2022-03-21,2022-04-14,Routine Inspection,31.481678,74.348339,Lahore,Active,Papa John's,Garden Town,Pizza,95,Excellent,Kitchen hygiene satisfactory.,True
30000055,Tim Hortons Garden,Lahore,99,Canal Bank Rd,Garden Town,54750,+92-333-9585651,Cafe,2022-11-09,Re-inspection Required,Not Critical,80,B,2022-12-07,2022-11-22,Routine Inspection,31.515508,74.243952,Lahore,Active,Tim Hortons Garden,Garden Town,Cafe,80,Good,Some utensils dirty; advised deep clean.,True
30000056,Pizza Hut Shadman,Lahore,138,Market Rd,Shadman,54030,+92-305-6847755,Pizza,2023-08-26,Advisory Issued,Not Critical,87,A,2023-09-08,2023-09-27,Enforcement Raid,31.63447,74.250019,Lahore,Active,Pizza Hut Shadman,Shadman,Pizza,87,Excellent,Clean premises; food handlers wearing gloves.,True
30000057,Papa John's,Lahore,352,Main Blvd,MM Alam Road,54660,+92-42-2837395,Pizza,2023-10-01,Warning Issued,Not Critical,78,B,2023-10-14,2023-10-29,Enforcement Raid,31.569266,74.254335,Lahore,Active,Papa John's,MM Alam Road,Pizza,78,Good,Chilled items slightly above recommended temp.,True
30000058,Hardee's,Lahore,319,Central Ave,DHA Phase 3,54810,+92-312-6920939,Chinese,2022-05-12,No Action Needed,Not Critical,89,A,2022-06-11,2022-06-13,Complaint-Based,31.567374,74.258695,Lahore,Active,Hardee's,DHA Phase 3,Chinese,89,Excellent,Storage organized; recommend improved handwashing.,True
30000059,Salt'n Pepper DHA,Lahore,181,DHA Main Blvd,DHA Phase 3,54810,+92-320-8203915,BBQ,2024-01-03,Warning Issued,Not Critical,78,B,2024-01-14,2024-01-12,Complaint-Based,31.474461,74.263718,Lahore,Active,Salt'n Pepper DHA,DHA Phase 3,BBQ,78,Good,Storage practices need improvement.,True
30000060,Pizza Hut,Lahore,368,Shahdara Rd,Shahdara,54050,+92-320-4903198,Pizza,2022-05-16,Re-inspection Required,Not Critical,84,B,2022-06-01,2022-05-29,Routine Inspection,31.562192,74.343253,Lahore,Active,Pizza Hut,Shahdara,Pizza,84,Good,Storage practices need improvement.,True
30000061,Hardee's,Lahore,294,Service Rd,DHA Phase 3,54810,+92-327-6331518,Chinese,2023-02-10,Advisory Issued,Not Critical,87,A,2023-02-25,2023-02-12,Complaint-Based,31.534247,74.224819,Lahore,Active,Hardee's,DHA Phase 3,Chinese,87,Excellent,Clean premises; food handlers wearing gloves.,True
30000062,Texas Chicken DHA,Lahore,308,Canal Bank Rd,DHA Phase 5,54792,+92-336-1356829,Fast Food,2023-08-07,No Action Needed,Not Critical,99,A,2023-09-05,2023-09-05,Complaint-Based,31.476212,74.393371,Lahore,Active,Texas Chicken DHA,DHA Phase 5,Fast Food,99,Excellent,Kitchen hygiene satisfactory.,True
30000063,Tim Hortons,Lahore,459,Samanabad Rd,Samanabad,54760,+92-301-2165246,Cafe,2024-08-20,Passed,Not Critical,96,A,2024-08-29,2024-09-06,Complaint-Based,31.600738,74.280069,Lahore,Active,Tim Hortons,Samanabad,Cafe,96,Excellent,Storage organized; recommend improved handwashing.,True
30000064,OPTP DHA,Lahore,397,Commercial Ave,DHA Phase 5,54792,+92-325-6007056,Desi,2024-10-07,Re-inspection Required,Not Critical,74,B,2024-11-02,2024-10-30,Routine Inspection,31.455858,74.209567,Lahore,Active,OPTP DHA,DHA Phase 5,Desi,74,Good,Storage practices need improvement.,True
30000065,Texas Chicken,Lahore,72,Market Rd,Samanabad,54760,+92-42-8420649,Fast Food,2023-04-09,Warning Issued,Not Critical,78,B,2023-05-05,2023-05-13,Routine Inspection,31.636822,74.373603,Lahore,Active,Texas Chicken,Samanabad,Fast Food,78,Good,Chilled items slightly above recommended temp.,True
30000066,Papa John's Fortress,Lahore,453,Fortress Stadium Rd,Fortress Stadium,54070,+92-319-2258998,Pizza,2023-06-25,Warning Issued,Not Critical,84,B,2023-07-03,2023-08-08,Follow-up,31.634972,74.316691,Lahore,Active,Papa John's Fortress,Fortress Stadium,Pizza,84,Good,Storage practices need improvement.,True
30000067,Burger King,Lahore,65,Ferozepur Rd,Ferozepur Road,54770,+92-326-8495720,Fast Food,2024-12-04,Warning Issued,Not Critical,84,B,2024-12-25,2025-01-04,Complaint-Based,31.514382,74.346173,Lahore,Active,Burger King,Ferozepur Road,Fast Food,84,Good,Some utensils dirty; advised deep clean.,True
30000068,Broadway Pizza,Lahore,48,Main Blvd,MM Alam Road,54660,+92-322-5066398,Pizza,2023-02-26,Warning Issued,Not Critical,61,C,2023-02-27,2023-03-11,Routine Inspection,31.5841,74.29363,Lahore,Active,Broadway Pizza,MM Alam Road,Pizza,61,Average,Expired items found; immediate action required.,True
30000069,Gloria Jean's,Lahore,97,Ferozepur Rd,Allama Iqbal Town,54740,+92-337-9852408,Cafe,2024-11-18,Warning Issued,Not Critical,72,B,2024-12-10,2024-12-17,Follow-up,31.619561,74.221132,Lahore,Active,Gloria Jean's,Allama Iqbal Town,Cafe,72,Good,Some utensils dirty; advised deep clean.,True
30000070,Gloria Jean's,Lahore,113,Central Ave,Township,54790,+92-42-9725608,Cafe,2023-02-20,Fine Imposed,Not Critical,63,C,2023-02-28,2023-03-19,Follow-up,31.587253,74.390299,Lahore,Active,Gloria Jean's,Township,Cafe,63,Average,Unsafe storage and mold in refrigerated unit.,True
30000071,Texas Chicken Allama,Lahore,332,Ferozepur Rd,Allama Iqbal Town,54740,+92-306-2848835,Fast Food,2023-05-08,No Action Needed,Not Critical,97,A,2023-05-16,2023-05-09,Enforcement Raid,31.582377,74.290528,Lahore,Active,Texas Chicken Allama,Allama Iqbal Town,Fast Food,97,Excellent,Minor record-keeping issues; overall good.,True
30000072,Texas Chicken Shadman,Lahore,61,Shadman Rd,Shadman,54030,+92-313-3526985,Fast Food,2024-03-23,Warning Issued,Not Critical,83,B,2024-03-24,2024-04-20,Complaint-Based,31.523956,74.209827,Lahore,Active,Texas Chicken Shadman,Shadman,Fast Food,83,Good,Packaging labels missing; hygiene average.,True
30000073,Salt'n Pepper,Lahore,375,MM Alam Rd,Gulberg,54660,+92-325-3963613,Continental,2023-07-20,Warning Issued,Not Critical,82,B,2023-07-23,2023-09-01,Routine Inspection,31.579269,74.391794,Lahore,Active,Salt'n Pepper,Gulberg,Continental,82,Good,Some utensils dirty; advised deep clean.,True
30000074,Texas Chicken Liberty,Lahore,59,Liberty Market,Liberty Market,54060,+92-315-2104735,Fast Food,2024-12-25,Passed,Not Critical,93,A,2025-01-16,2025-02-08,Enforcement Raid,31.528382,74.220261,Lahore,Active,Texas Chicken Liberty,Liberty Market,Fast Food,93,Excellent,Minor record-keeping issues; overall good.,True
30000075,Dunkin' Donuts,Lahore,254,MM Alam Rd,MM Alam Road,54660,+92-322-5831713,Cafe,2023-08-13,Fine Imposed,Not Critical,61,C,2023-08-29,2023-09-26,Enforcement Raid,31.597818,74.370513,Lahore,Active,Dunkin' Donuts,MM Alam Road,Cafe,61,Average,Packaging labels missing; hygiene average.,True
30000076,McDonald's Gulberg,Lahore,88,Main Blvd,Gulberg,54660,+92-311-6572641,Desi,2022-10-18,Warning Issued,Not Critical,51,C,2022-10-31,2022-11-08,Routine Inspection,31.485503,74.252766,Lahore,Active,McDonald's Gulberg,Gulberg,Desi,51,Average,Some utensils dirty; advised deep clean.,True
30000077,KFC,Lahore,88,Canal Bank Rd,Cavalry,54020,+92-330-1016885,Fast Food,2024-09-27,Fine Imposed,Not Critical,67,C,2024-09-28,2024-09-28,Complaint-Based,31.617072,74.305054,Lahore,Active,KFC,Cavalry,Fast Food,67,Average,Chilled items slightly above recommended temp.,True
30000078,Dunkin' Donuts Gulberg,Lahore,387,MM Alam Rd,Gulberg,54660,+92-321-8593642,Cafe,2024-10-01,Warning Issued,Not Critical,68,C,2024-10-22,2024-11-01,Complaint-Based,31.522858,74.202712,Lahore,Active,Dunkin' Donuts Gulberg,Gulberg,Cafe,68,Average,Significant cleanliness issues; pests present.,True
30000079,Gloria Jean's Samanabad,Lahore,155,Market Rd,Samanabad,54760,+92-42-9237236,Cafe,2022-08-19,Re-inspection Required,Not Critical,83,B,2022-08-23,2022-09-14,Follow-up,31.581873,74.228327,Lahore,Active,Gloria Jean's Samanabad,Samanabad,Cafe,83,Good,Packaging labels missing; hygiene average.,True
30000080,Subway Samanabad,Lahore,16,Market Rd,Samanabad,54760,+92-305-4252130,Italian,2022-08-10,Re-inspection Required,Not Critical,58,C,2022-08-31,2022-09-13,Enforcement Raid,31.647466,74.375219,Lahore,Active,Subway Samanabad,Samanabad,Italian,58,Average,Chilled items slightly above recommended temp.,True
30000081,McDonald's,Lahore,136,Service Rd,Raiwind Road,54650,+92-42-7671442,Continental,2024-05-04,Closure Recommended,Critical,38,D,2024-05-05,2024-06-10,Complaint-Based,31.616834,74.224592,Lahore,Closed,McDonald's,Raiwind Road,Continental,38,Poor,No medical certificates for staff; poor hygiene.,True
30000082,Dunkin' Donuts,Lahore,291,Main Blvd,Walton Road,54040,+92-300-9370606,Cafe,2022-10-29,Warning Issued,Not Critical,77,B,2022-11-17,2022-12-03,Follow-up,31.510729,74.257652,Lahore,Active,Dunkin' Donuts,Walton Road,Cafe,77,Good,Chilled items slightly above recommended temp.,True
